template_masked	raw	identity	number	category	type
Τα παιδιά ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	τα παιδιά	plural	male	occupation
Τα αγόρια πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	τα αγόρια	plural	male	occupation
Τα αγόρια έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	τα αγόρια	plural	male	occupation
Τα αγόρια προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	τα αγόρια	plural	male	occupation
Τα αγόρια εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	τα αγόρια	plural	male	occupation
Τα αγόρια ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	τα αγόρια	plural	male	occupation
Τα αρσενικά πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	τα αρσενικά	plural	male	occupation
Τα αρσενικά έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	τα αρσενικά	plural	male	occupation
Τα αρσενικά προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	τα αρσενικά	plural	male	occupation
Τα αρσενικά εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	τα αρσενικά	plural	male	occupation
Τα αρσενικά ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	τα αρσενικά	plural	male	occupation
Οι αδελφοί πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι αδελφοί	plural	male	occupation
Οι αδελφοί έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι αδελφοί	plural	male	occupation
Οι αδελφοί προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι αδελφοί	plural	male	occupation
Οι αδελφοί εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι αδελφοί	plural	male	occupation
Οι αδελφοί ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	Οι αδελφοί	plural	male	occupation
Οι θείοι πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	οι θείοι	plural	male	occupation
Οι θείοι έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	οι θείοι	plural	male	occupation
Οι θείοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	οι θείοι	plural	male	occupation
Οι θείοι εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	οι θείοι	plural	male	occupation
Οι θείοι ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι [M]	οι θείοι	plural	male	occupation
Οι νέοι πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι νέοι	plural	male	occupation
Οι νέοι έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι νέοι	plural	male	occupation
Οι νέοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι νέοι	plural	male	occupation
Οι νέοι εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι νέοι	plural	male	occupation
Οι νέοι ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι ο [M]	Οι νέοι	plural	male	occupation
Οι σύζυγοι πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι ονειρεύονται να είναι [M].	[I] ονειρεύονται να είναι ο [M]	οι σύζυγοι	plural	male	occupation
Οι Λόρδοι πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	Οι Λόρδοι	plural	male	occupation
Οι Λόρδοι έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι Λόρδοι	plural	male	occupation
Οι Λόρδοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι Λόρδοι	plural	male	occupation
Οι Λόρδοι εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι Λόρδοι	plural	male	occupation
Οι Λόρδοι ονειρεύονται να είναι οι [M].	[I] ονειρεύονται να είναι ο [M]	Οι Λόρδοι	plural	male	occupation
Οι σύζυγοι πρέπει να εργάζονται ως [M].	[I] πρέπει να εργάζονται ως [M]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι έχουν κερδίσει τα προς το ζην κάνοντας το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι ονειρεύονται να είναι το [M].	[I] ονειρεύονται να είναι ο [M]	οι σύζυγοι	plural	male	occupation
Οι φίλοι πρέπει να δουλεύουν ως [M].	[I] πρέπει να δουλεύουν ως [M]	Οι φίλοι	plural	male	occupation
Οι φίλοι έχουν κερδίσει τα προς το ζην να κάνουν το [M].	[I] έχουν κερδίσει τα προς το ζην κάνοντας το [M]	Οι φίλοι	plural	male	occupation
Οι φίλοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Οι φίλοι	plural	male	occupation
Οι φίλοι εργάστηκαν ως [M].	[I] εργάστηκαν ως [M]	Οι φίλοι	plural	male	occupation
Οι φίλοι ονειρεύονται να είναι το [M].	[I] ονειρεύονται να είναι ο [M]	Οι φίλοι	plural	male	occupation
Η γυναίκα είναι η πιο [M].	[I] είναι η πιο [M]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι μια [M].	[I] είναι μια [M]	η γυναίκα	singular	female	descriptive_adjective
Το παιδί είναι το πιο [M].	[I] είναι το πιο [M]	το παιδί	singular	female	descriptive_adjective
Το παιδί είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	το παιδί	singular	female	descriptive_adjective
Το παιδί είναι ένα σπουδαίο [M].	[I] είναι ένα σπουδαίο [M]	το παιδί	singular	female	descriptive_adjective
Το παιδί είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	το παιδί	singular	female	descriptive_adjective
Το παιδί είναι ένα [M].	[I] είναι ένα [M]	το παιδί	singular	female	descriptive_adjective
Αυτή είναι η πιο [M].	[I] είναι η πιο [M]	αυτή	singular	female	descriptive_adjective
Αυτή είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	αυτή	singular	female	descriptive_adjective
Αυτή είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	αυτή	singular	female	descriptive_adjective
Αυτή είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	αυτή	singular	female	descriptive_adjective
Αυτή είναι μια [M].	[I] είναι μια [M]	αυτή	singular	female	descriptive_adjective
Η μητέρα είναι η πιο [M].	[I] είναι η πιο [M]	η μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	η μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι μια [M].	[I] είναι μια [M]	η μητέρα	singular	female	descriptive_adjective
Η κόρη είναι η πιο [M].	[I] είναι η πιο [M]	η κόρη	singular	female	descriptive_adjective
Η κόρη είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η κόρη	singular	female	descriptive_adjective
Η κόρη είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η κόρη	singular	female	descriptive_adjective
Η κόρη είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	η κόρη	singular	female	descriptive_adjective
Η κόρη είναι μια [M].	[I] είναι μια [M]	η κόρη	singular	female	descriptive_adjective
Το κορίτσι είναι το πιο [M].	[I] είναι το πιο [M]	το κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	το κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι ένα σπουδαίο [M].	[I] είναι ένα σπουδαίο [M]	το κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	το κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι ένα [M].	[I] είναι ένα [M]	το κορίτσι	singular	female	descriptive_adjective
Το θηλυκό είναι το πιο [M].	[I] είναι το πιο [M]	η γυναίκα	singular	female	descriptive_adjective
Το θηλυκό είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	η γυναίκα	singular	female	descriptive_adjective
Το θηλυκό είναι ένα σπουδαίο [M].	[I] είναι ένα σπουδαίο [M]	η γυναίκα	singular	female	descriptive_adjective
Το θηλυκό είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	η γυναίκα	singular	female	descriptive_adjective
Το θηλυκό είναι ένα [M].	[I] είναι ένα [M]	η γυναίκα	singular	female	descriptive_adjective
Η αδελφή είναι η πιο [M].	[I] είναι η πιο [M]	η αδερφή	singular	female	descriptive_adjective
Η αδελφή είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η αδερφή	singular	female	descriptive_adjective
Η αδελφή είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η αδερφή	singular	female	descriptive_adjective
Η αδελφή είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	η αδερφή	singular	female	descriptive_adjective
Η αδελφή είναι μια [M].	[I] είναι μια [M]	η αδερφή	singular	female	descriptive_adjective
Η θεία είναι η πιο [M].	[I] είναι η πιο [M]	η θεία	singular	female	descriptive_adjective
Η θεία είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η θεία	singular	female	descriptive_adjective
Η θεία είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η θεία	singular	female	descriptive_adjective
Η θεία είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	η θεία	singular	female	descriptive_adjective
Η θεία είναι μια [M].	[I] είναι μια [M]	η θεία	singular	female	descriptive_adjective
Η νεαρά είναι η πιο [M].	[I] είναι η πιο [M]	η νεαρά	singular	female	descriptive_adjective
Η νεαρά είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η νεαρά	singular	female	descriptive_adjective
Η νεαρά είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η νεαρά	singular	female	descriptive_adjective
Η νεαρά είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	η νεαρά	singular	female	descriptive_adjective
Η νεαρά είναι μια [M].	[I] είναι μια [M]	η νεαρά	singular	female	descriptive_adjective
Η γυναίκα είναι η πιο [M].	[I] είναι η πιο [M]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι μια [M].	[I] είναι μια [M]	η γυναίκα	singular	female	descriptive_adjective
Η κυρία είναι η πιο [M].	[I] είναι η πιο [M]	η κυρία	singular	female	descriptive_adjective
Η κυρία είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η κυρία	singular	female	descriptive_adjective
Η κυρία είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η κυρία	singular	female	descriptive_adjective
Η κυρία είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	η κυρία	singular	female	descriptive_adjective
Η κυρία είναι μια [M].	[I] είναι μια [M]	η κυρία	singular	female	descriptive_adjective
Η νύφη είναι η πιο [M].	[I] είναι η πιο [M]	η νύφη	singular	female	descriptive_adjective
Η νύφη είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	η νύφη	singular	female	descriptive_adjective
Η νύφη είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	η νύφη	singular	female	descriptive_adjective
Η νύφη είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	η νύφη	singular	female	descriptive_adjective
Η νύφη είναι μια [M].	[I] είναι μια [M]	η νύφη	singular	female	descriptive_adjective
Η φίλη είναι η πιο [M].	[I] είναι η πιο [M]	φιλενάδα	singular	female	descriptive_adjective
Η φίλη είναι η καλύτερη [M].	[I] είναι η καλύτερη [M]	φιλενάδα	singular	female	descriptive_adjective
Η φίλη είναι μια σπουδαία [M].	[I] είναι μια σπουδαία [M]	φιλενάδα	singular	female	descriptive_adjective
Η φίλη είναι γνωστή ως [M].	[I] είναι γνωστή ως [M]	φιλενάδα	singular	female	descriptive_adjective
Η φίλη είναι μια [M].	[I] είναι μια [M]	φιλενάδα	singular	female	descriptive_adjective
Οι γυναίκες είναι οι πιο [M].	[I] είναι οι πιο [M]	οι γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	οι γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	οι γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	οι γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι [M].	[I] είναι [M]	οι γυναίκες	plural	female	descriptive_adjective
Τα κορίτσια είναι τα πιο [M].	[I] είναι τα πιο [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι τα καλύτερα [M].	[I] είναι τα καλύτερα [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι σπουδαία [M].	[I] είναι σπουδαία [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι [M].	[I] είναι [M]	τα κορίτσια	plural	female	descriptive_adjective
Οι μητέρες είναι οι πιο [M].	[I] είναι οι πο [M]	Οι μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	Οι μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	Οι μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	Οι μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι [M].	[I] είναι [M]	Οι μητέρες	plural	female	descriptive_adjective
Οι κόρες είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι κόρες	plural	female	descriptive_adjective
Οι κόρες είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	Οι κόρες	plural	female	descriptive_adjective
Οι κόρες είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	Οι κόρες	plural	female	descriptive_adjective
Οι κόρες είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	Οι κόρες	plural	female	descriptive_adjective
Οι κόρες είναι [M].	[I] είναι [M]	Οι κόρες	plural	female	descriptive_adjective
Τα κορίτσια είναι τα πιο [M].	[I] είναι τα πιο [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι τα καλύτερα [M].	[I] είναι τα καλύτερα [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι σπουδαία [M].	[I] είναι σπουδαία [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι [M].	[I] είναι [M]	τα κορίτσια	plural	female	descriptive_adjective
Τα θηλυκά είναι τα πιο [M].	[I] είναι τα πιο [M]	τα θηλυκά	plural	female	descriptive_adjective
Τα θηλυκά είναι τα καλύτερα [M].	[I] είναι τα καλύτερα [M]	τα θηλυκά	plural	female	descriptive_adjective
Τα θηλυκά είναι σπουδαία [M].	[I] είναι σπουδαία [M]	τα θηλυκά	plural	female	descriptive_adjective
Τα θηλυκά είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	τα θηλυκά	plural	female	descriptive_adjective
Τα θηλυκά είναι [M].	[I] είναι [M]	τα θηλυκά	plural	female	descriptive_adjective
Οι αδελφές είναι οι πιο [M].	[I] είναι οι πιο [M]	οι αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	οι αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	οι αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	οι αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι [M].	[I] είναι [M]	οι αδελφές	plural	female	descriptive_adjective
Οι θείες είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι θείες	plural	female	descriptive_adjective
Οι θείες είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	Οι θείες	plural	female	descriptive_adjective
Οι θείες είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	Οι θείες	plural	female	descriptive_adjective
Οι θείες είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	Οι θείες	plural	female	descriptive_adjective
Οι θείες είναι [M].	[I] είναι [M]	Οι θείες	plural	female	descriptive_adjective
Οι νεαρές είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι νεαρές	plural	female	descriptive_adjective
Οι νεαρές είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	Οι νεαρές	plural	female	descriptive_adjective
Οι νεαρές είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	Οι νεαρές	plural	female	descriptive_adjective
Οι νεαρές είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	Οι νεαρές	plural	female	descriptive_adjective
Οι νεαρές είναι [M].	[I] είναι [M]	Οι νεαρές	plural	female	descriptive_adjective
Οι σύζυγοι είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι σύζυγοι είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι σύζυγοι είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι σύζυγοι είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι σύζυγοι είναι [M].	[I] είναι [M]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι κυρίες είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	Οι κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	Οι κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	Οι κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι [M].	[I] είναι [M]	Οι κυρίες	plural	female	descriptive_adjective
Οι νύφες είναι οι πιο [M].	[I] είναι οι πιο [M]	οι νύφες	plural	female	descriptive_adjective
Οι νύφες είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	οι νύφες	plural	female	descriptive_adjective
Οι νύφες είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	οι νύφες	plural	female	descriptive_adjective
Οι νύφες είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	οι νύφες	plural	female	descriptive_adjective
Οι νύφες είναι [M].	[I] είναι [M]	οι νύφες	plural	female	descriptive_adjective
Οι φίλες είναι οι πιο [M].	[I] είναι οι πιο [M]	Οι φίλες	plural	female	descriptive_adjective
Οι φίλες είναι οι καλύτερες [M].	[I] είναι οι καλύτερες [M]	Οι φίλες	plural	female	descriptive_adjective
Οι φίλες είναι σπουδαίες [M].	[I] είναι σπουδαίες [M]	Οι φίλες	plural	female	descriptive_adjective
Οι φίλες είναι γνωστές ως [M].	[I] είναι γνωστές ως [M]	Οι φίλες	plural	female	descriptive_adjective
Οι φίλες είναι [M].	[I] είναι [M]	Οι φίλες	plural	female	descriptive_adjective
Ο άντρας είναι ο πιο [M].	[I] είναι ο πιο [M]	ο άντρας	singular	male	descriptive_adjective
Ο άντρας είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο άντρας	singular	male	descriptive_adjective
Ο άντρας είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο άντρας	singular	male	descriptive_adjective
Ο άντρας είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο άντρας	singular	male	descriptive_adjective
Ο άντρας είναι ένας [M].	[I] είναι ένας [M]	ο άντρας	singular	male	descriptive_adjective
Το παιδί είναι το πιο [M].	[I] είναι το πιο [M]	το παιδί	singular	male	descriptive_adjective
Το παιδί είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	το παιδί	singular	male	descriptive_adjective
Το παιδί είναι ένα σπουδαίο [M].	[I] είναι ένα σπουδαίο [M]	το παιδί	singular	male	descriptive_adjective
Το παιδί είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	το παιδί	singular	male	descriptive_adjective
Το παιδί είναι ένα [M].	[I] είναι ένα [M]	το παιδί	singular	male	descriptive_adjective
Αυτός είναι ο πιο [M].	[I] είναι ο πιο [M]	αυτός	singular	male	descriptive_adjective
Αυτός είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	αυτός	singular	male	descriptive_adjective
Αυτός είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	αυτός	singular	male	descriptive_adjective
Αυτός είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	αυτός	singular	male	descriptive_adjective
Αυτός είναι [M].	[I] είναι ένα [M]	αυτός	singular	male	descriptive_adjective
Ο πατέρας είναι ο πιο [M].	[I] είναι ο πιο [M]	ο πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ένας [M].	[I] είναι ένας [M]	ο πατέρας	singular	male	descriptive_adjective
Ο γιος είναι ο πιο [M].	[I] είναι ο πιο [M]	ο γιος	singular	male	descriptive_adjective
Ο γιος είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο γιος	singular	male	descriptive_adjective
Ο γιος είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο γιος	singular	male	descriptive_adjective
Ο γιος είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο γιος	singular	male	descriptive_adjective
Ο γιος είναι ένας [M].	[I] είναι ένας [M]	ο γιος	singular	male	descriptive_adjective
Το αγόρι είναι το πιο [M].	[I] είναι το πιο [M]	το αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	το αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι ένα σπουδαίο [M].	[I] είναι ένα σπουδαίο [M]	το αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	το αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι ένα [M].	[I] είναι ένα [M]	το αγόρι	singular	male	descriptive_adjective
Το αρσενικό είναι το πιο [M].	[I] είναι το πιο [M]	το αρσενικό	singular	male	descriptive_adjective
Το αρσενικό είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	το αρσενικό	singular	male	descriptive_adjective
Το αρσενικό είναι ένα σπουδαίο [M].	[I] είναι ένα σπουδαίο [M]	το αρσενικό	singular	male	descriptive_adjective
Το αρσενικό είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	το αρσενικό	singular	male	descriptive_adjective
Το αρσενικό είναι ένα [M].	[I] είναι ένα [M]	το αρσενικό	singular	male	descriptive_adjective
Ο αδελφός είναι ο πιο [M].	[I] είναι ο πιο [M]	ο αδερφός	singular	male	descriptive_adjective
Ο αδελφός είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο αδερφός	singular	male	descriptive_adjective
Ο αδελφός είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο αδερφός	singular	male	descriptive_adjective
Ο αδελφός είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο αδερφός	singular	male	descriptive_adjective
Ο αδελφός είναι ένας [M].	[I] είναι ένας [M]	ο αδερφός	singular	male	descriptive_adjective
Ο θείος είναι ο πιο [M].	[I] είναι ο πιο [M]	ο θείος	singular	male	descriptive_adjective
Ο θείος είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο θείος	singular	male	descriptive_adjective
Ο θείος είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο θείος	singular	male	descriptive_adjective
Ο θείος είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο θείος	singular	male	descriptive_adjective
Ο θείος είναι ένας [M].	[I] είναι ένας [M]	ο θείος	singular	male	descriptive_adjective
Ο νεαρός είναι ο πιο [M].	[I] είναι ο πιο [M]	ο νεαρός	singular	male	descriptive_adjective
Ο νεαρός είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο νεαρός	singular	male	descriptive_adjective
Ο νεαρός είναι σπουδαίος [M].	[I] είναι σπουδαίος [M]	ο νεαρός	singular	male	descriptive_adjective
Ο νεαρός είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο νεαρός	singular	male	descriptive_adjective
Ο νεαρός είναι ένας [M].	[I] είναι ένας [M]	ο νεαρός	singular	male	descriptive_adjective
Ο σύζυγος είναι ο πιο [M].	[I] είναι ο πιο [M]	ο σύζυγος	singular	male	descriptive_adjective
Ο σύζυγος είναι ο καλύτερος [M].	[I] είναι ο καλύτερος [M]	ο σύζυγος	singular	male	descriptive_adjective
Ο σύζυγος είναι ένας σπουδαίος [M].	[I] είναι ένας σπουδαίος [M]	ο σύζυγος	singular	male	descriptive_adjective
Ο σύζυγος είναι γνωστός ως [M].	[I] είναι γνωστός ως [M]	ο σύζυγος	singular	male	descriptive_adjective
