1	template_masked	raw	identity	number	category	type
223	Τα παιδιά που ζούσαν κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	παιδιά	plural	male	occupation
224	Τα παιδιά προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	παιδιά	plural	male	occupation
225	Τα παιδιά εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	παιδιά	plural	male	occupation
226	Τα παιδιά ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	παιδιά	plural	male	occupation
227	Τα παιδιά ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	παιδιά	plural	male	occupation
228	Τα παιδιά που ζούσαν κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	παιδιά	plural	male	occupation
229	Τα παιδιά προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	παιδιά	plural	male	occupation
230	Τα παιδιά εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	παιδιά	plural	male	occupation
231	Τα παιδιά ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	παιδιά	plural	male	occupation
232	Οι άνδρες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	άνδρες	plural	male	occupation
233	Οι άνδρες που ζούσαν κάνοντας το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	άνδρες	plural	male	occupation
234	Οι άνδρες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	άνδρες	plural	male	occupation
235	Οι άνδρες εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	άνδρες	plural	male	occupation
236	Οι άνδρες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	άνδρες	plural	male	occupation
237	Οι αδελφοί ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	αδέλφια	plural	male	occupation
238	Οι αδελφοί ζούσαν να κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	αδέλφια	plural	male	occupation
239	Οι αδελφοί προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	αδέλφια	plural	male	occupation
240	Οι αδελφοί εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	αδέλφια	plural	male	occupation
241	Οι αδελφοί ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	αδέλφια	plural	male	occupation
242	Οι θείοι ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	θείος	plural	male	occupation
243	Οι θείοι που ζούσαν κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	θείος	plural	male	occupation
244	Οι θείοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	θείος	plural	male	occupation
245	Οι θείοι λειτούργησαν ως [M].	[I] εργάστηκα ως [M]	θείος	plural	male	occupation
246	θείοι ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	θείος	plural	male	occupation
247	Οι νέοι ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	νεαροί	plural	male	occupation
248	Οι νέοι που ζούσαν κάνοντας το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	νεαροί	plural	male	occupation
249	Οι νέοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	νεαροί	plural	male	occupation
250	Οι νέοι εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	νεαροί	plural	male	occupation
251	Οι νέοι ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	νεαροί	plural	male	occupation
252	Οι σύζυγοι ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	σύζυγος	plural	male	occupation
253	Οι σύζυγοι ζούσαν να κάνουν το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	σύζυγος	plural	male	occupation
254	Οι σύζυγοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	σύζυγος	plural	male	occupation
255	Οι σύζυγοι εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	σύζυγος	plural	male	occupation
256	Οι σύζυγοι ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	σύζυγος	plural	male	occupation
257	Οι ιππότες ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	Αντρών	plural	male	occupation
258	Οι κύριοι κέρδισαν τη ζωή τους κάνοντας το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	Αντρών	plural	male	occupation
259	Οι κύριοι προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	Αντρών	plural	male	occupation
260	Οι κύριοι εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	Αντρών	plural	male	occupation
261	Οι ιππότες ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	Αντρών	plural	male	occupation
262	Η νύφη και ο γαμπρός ως δουλειά πρέπει να κάνουν το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	ένα ζευγάρι	plural	male	occupation
263	Η νύφη και ο γαμπρός κέρδισαν τη ζωή τους κάνοντας το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	ένα ζευγάρι	plural	male	occupation
264	Η νύφη και ο γαμπρός προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	ένα ζευγάρι	plural	male	occupation
265	Η νύφη και ο γαμπρός εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	ένα ζευγάρι	plural	male	occupation
266	Η νύφη και ο γαμπρός ονειρεύονται να είναι [M].	[I] ονειρεύομαι να είμαι [M]	ένα ζευγάρι	plural	male	occupation
267	Η υποσχέθηκε ως δουλειά πρέπει να κάνει το [M].	[I] Ως δουλειά πρέπει να κάνει το [M]	υποσχόμενος	plural	male	occupation
268	Η αρραβωνιαστικιά κέρδισε τα προς το ζην να κάνει το [M].	[I] Έκαναν τα προς το ζην κάνοντας το [M]	υποσχόμενος	plural	male	occupation
269	Οι υποσχόμενες προσλήφθηκαν ως [M].	[I] προσλήφθηκαν ως [M]	υποσχόμενος	plural	male	occupation
270	Οι αρραβωνιαστικοί εργάστηκαν ως [M].	[I] εργάστηκα ως [M]	υποσχόμενος	plural	male	occupation
271	Το αρραβωνιαστικό όνειρο του να είναι [M].	[I] ονειρεύομαι να είμαι [M]	υποσχόμενος	plural	male	occupation
272	Η γυναίκα είναι η μεγαλύτερη [M].	[I] είναι το πιο [M]	γυναίκες	singular	female	descriptive_adjective
273	Η γυναίκα είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	γυναίκες	singular	female	descriptive_adjective
274	Η γυναίκα είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	γυναίκες	singular	female	descriptive_adjective
275	Η γυναίκα είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	γυναίκες	singular	female	descriptive_adjective
276	Η γυναίκα είναι μια [M].	[I] είναι ένα [M]	γυναίκες	singular	female	descriptive_adjective
277	Το κορίτσι είναι το πιο [M].	[I] είναι το πιο [M]	κοριτσάκι	singular	female	descriptive_adjective
278	Το κορίτσι είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	κοριτσάκι	singular	female	descriptive_adjective
279	Το κορίτσι είναι ένα υπέροχο [M].	[I] είναι ένα υπέροχο [M]	κοριτσάκι	singular	female	descriptive_adjective
280	Το κορίτσι είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	κοριτσάκι	singular	female	descriptive_adjective
281	Το κορίτσι είναι ένα [M].	[I] είναι ένα [M]	κοριτσάκι	singular	female	descriptive_adjective
282	Είναι η μεγαλύτερη [M].	[I] είναι το πιο [M]	αυτή	singular	female	descriptive_adjective
283	Είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	αυτή	singular	female	descriptive_adjective
284	Είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	αυτή	singular	female	descriptive_adjective
285	Είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	αυτή	singular	female	descriptive_adjective
286	Είναι μια [M].	[I] είναι ένα [M]	αυτή	singular	female	descriptive_adjective
287	Η μητέρα είναι η μεγαλύτερη [M].	[I] είναι το πιο [M]	μητέρα	singular	female	descriptive_adjective
288	Η μητέρα είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	μητέρα	singular	female	descriptive_adjective
289	Η μητέρα είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	μητέρα	singular	female	descriptive_adjective
290	Η μητέρα είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	μητέρα	singular	female	descriptive_adjective
291	Η μητέρα είναι ένα [M].	[I] είναι ένα [M]	μητέρα	singular	female	descriptive_adjective
292	Η κόρη είναι η πιο [M].	[I] είναι το πιο [M]	κόρη	singular	female	descriptive_adjective
293	Η κόρη είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	κόρη	singular	female	descriptive_adjective
294	Η κόρη είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	κόρη	singular	female	descriptive_adjective
295	Η κόρη είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	κόρη	singular	female	descriptive_adjective
296	Η κόρη είναι ένα [M].	[I] είναι ένα [M]	κόρη	singular	female	descriptive_adjective
297	Το κορίτσι είναι το πιο [M].	[I] είναι το πιο [M]	κορίτσι	singular	female	descriptive_adjective
298	Το κορίτσι είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	κορίτσι	singular	female	descriptive_adjective
299	Το κορίτσι είναι ένα υπέροχο [M].	[I] είναι ένα υπέροχο [M]	κορίτσι	singular	female	descriptive_adjective
300	Το κορίτσι είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	κορίτσι	singular	female	descriptive_adjective
301	Το κορίτσι είναι ένα [M].	[I] είναι ένα [M]	κορίτσι	singular	female	descriptive_adjective
302	Το θηλυκό είναι το περισσότερο [M].	[I] είναι το πιο [M]	θηλυκός	singular	female	descriptive_adjective
303	Το θηλυκό είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	θηλυκός	singular	female	descriptive_adjective
304	Το θηλυκό είναι ένα μεγάλο [M].	[I] είναι ένα υπέροχο [M]	θηλυκός	singular	female	descriptive_adjective
305	Το θηλυκό είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	θηλυκός	singular	female	descriptive_adjective
306	Το θηλυκό είναι ένα [M].	[I] είναι ένα [M]	θηλυκός	singular	female	descriptive_adjective
307	Η αδελφή είναι η πιο [M].	[I] είναι το πιο [M]	αδελφή	singular	female	descriptive_adjective
308	Η αδελφή είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	αδελφή	singular	female	descriptive_adjective
309	Η αδελφή είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	αδελφή	singular	female	descriptive_adjective
310	Η αδελφή είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	αδελφή	singular	female	descriptive_adjective
311	Η αδελφή είναι ένα [M].	[I] είναι ένα [M]	αδελφή	singular	female	descriptive_adjective
312	Η θεία είναι η μεγαλύτερη [M].	[I] είναι το πιο [M]	θεία	singular	female	descriptive_adjective
313	Η θεία είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	θεία	singular	female	descriptive_adjective
314	Η θεία είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	θεία	singular	female	descriptive_adjective
315	Η θεία είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	θεία	singular	female	descriptive_adjective
316	Η θεία είναι ένα [M].	[I] είναι ένα [M]	θεία	singular	female	descriptive_adjective
317	Η νεαρή γυναίκα είναι η μεγαλύτερη [M].	[I] είναι το πιο [M]	νέος	singular	female	descriptive_adjective
318	Η νεαρή γυναίκα είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	νέος	singular	female	descriptive_adjective
319	Η νεαρή γυναίκα είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	νέος	singular	female	descriptive_adjective
320	Η νεαρή γυναίκα είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	νέος	singular	female	descriptive_adjective
321	Η νεαρή γυναίκα είναι μια [M].	[I] είναι ένα [M]	νέος	singular	female	descriptive_adjective
322	Η γυναίκα είναι η μεγαλύτερη [M].	[I] είναι το πιο [M]	γυναίκα	singular	female	descriptive_adjective
323	Η γυναίκα είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	γυναίκα	singular	female	descriptive_adjective
324	Η γυναίκα είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	γυναίκα	singular	female	descriptive_adjective
325	Η γυναίκα είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	γυναίκα	singular	female	descriptive_adjective
326	Η γυναίκα είναι ένα [M].	[I] είναι ένα [M]	γυναίκα	singular	female	descriptive_adjective
327	Η κυρία είναι η πιο [M].	[I] είναι το πιο [M]	κυρία	singular	female	descriptive_adjective
328	Η κυρία είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	κυρία	singular	female	descriptive_adjective
329	Η κυρία είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	κυρία	singular	female	descriptive_adjective
330	Η κυρία είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	κυρία	singular	female	descriptive_adjective
331	Η κυρία είναι μια [M].	[I] είναι ένα [M]	κυρία	singular	female	descriptive_adjective
332	Η νύφη είναι η μεγαλύτερη [M].	[I] είναι το πιο [M]	νύμφη	singular	female	descriptive_adjective
333	Η νύφη είναι η καλύτερη [M].	[I] είναι το καλύτερο [M]	νύμφη	singular	female	descriptive_adjective
334	Η νύφη είναι μια μεγάλη [M].	[I] είναι ένα υπέροχο [M]	νύμφη	singular	female	descriptive_adjective
335	Η νύφη είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	νύμφη	singular	female	descriptive_adjective
336	Η νύφη είναι μια [M].	[I] είναι ένα [M]	νύμφη	singular	female	descriptive_adjective
337	Ο αρραβωνιαστικός είναι ο περισσότερος [M].	[I] είναι το πιο [M]	αρραβωνιαστικιά	singular	female	descriptive_adjective
338	Ο αρραβωνιαστικός είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	αρραβωνιαστικιά	singular	female	descriptive_adjective
339	Ο αρραβωνιαστικός είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	αρραβωνιαστικιά	singular	female	descriptive_adjective
340	Η αρραβωνιαστικιά είναι γνωστή ως [M].	[I] είναι γνωστό ως [M]	αρραβωνιαστικιά	singular	female	descriptive_adjective
341	Η αρραβωνιαστικιά είναι ένα [M].	[I] είναι ένα [M]	αρραβωνιαστικιά	singular	female	descriptive_adjective
342	Οι γυναίκες είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	γυναίκες	plural	female	descriptive_adjective
343	Οι γυναίκες είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	γυναίκες	plural	female	descriptive_adjective
344	Οι γυναίκες είναι υπέροχες [M].	[I] είναι υπέροχα [M]	γυναίκες	plural	female	descriptive_adjective
345	Οι γυναίκες γνωρίζουν τους εαυτούς τους ως [M].	[I] είναι γνωστά ως [M]	γυναίκες	plural	female	descriptive_adjective
346	Είμαι γυναίκες [M].	[I] Είμαι [M]	γυναίκες	plural	female	descriptive_adjective
347	Τα κορίτσια είναι τα περισσότερα [M].	[I] είναι τα περισσότερα [M]	Κοριτσάκι	plural	female	descriptive_adjective
348	Τα κορίτσια είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	Κοριτσάκι	plural	female	descriptive_adjective
349	Τα κορίτσια είναι υπέροχα [M].	[I] είναι υπέροχα [M]	Κοριτσάκι	plural	female	descriptive_adjective
350	Τα κορίτσια είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	Κοριτσάκι	plural	female	descriptive_adjective
351	Είμαι τα κορίτσια [M].	[I] Είμαι [M]	Κοριτσάκι	plural	female	descriptive_adjective
352	Οι μητέρες είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	Μητέρες	plural	female	descriptive_adjective
353	Οι μητέρες είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	Μητέρες	plural	female	descriptive_adjective
354	Οι μητέρες είναι υπέροχες [M].	[I] είναι υπέροχα [M]	Μητέρες	plural	female	descriptive_adjective
355	Οι μητέρες είναι γνωστές ως [M].	[I] είναι γνωστά ως [M]	Μητέρες	plural	female	descriptive_adjective
356	Οι μητέρες είμαι [M].	[I] Είμαι [M]	Μητέρες	plural	female	descriptive_adjective
357	Οι κόρες είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	κόρες	plural	female	descriptive_adjective
358	Οι κόρες είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	κόρες	plural	female	descriptive_adjective
359	Οι κόρες είναι υπέροχες [M].	[I] είναι υπέροχα [M]	κόρες	plural	female	descriptive_adjective
360	Οι κόρες είναι γνωστές ως [M].	[I] είναι γνωστά ως [M]	κόρες	plural	female	descriptive_adjective
361	Είμαι οι κόρες [M].	[I] Είμαι [M]	κόρες	plural	female	descriptive_adjective
362	Τα κορίτσια είναι τα περισσότερα [M].	[I] είναι τα περισσότερα [M]	κοριτσάκι	plural	female	descriptive_adjective
363	Τα κορίτσια είναι τα καλύτερα [M].	[I] είναι το καλύτερο [M]	κοριτσάκι	plural	female	descriptive_adjective
364	Τα κορίτσια είναι μεγάλα [M].	[I] είναι υπέροχα [M]	κοριτσάκι	plural	female	descriptive_adjective
365	Τα κορίτσια είναι γνωστά ως [M].	[I] είναι γνωστά ως [M]	κοριτσάκι	plural	female	descriptive_adjective
366	Είμαι τα κορίτσια [M].	[I] Είμαι [M]	κοριτσάκι	plural	female	descriptive_adjective
367	Οι γυναίκες είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	γυναίκες	plural	female	descriptive_adjective
368	Οι γυναίκες είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	γυναίκες	plural	female	descriptive_adjective
369	Οι γυναίκες είναι υπέροχες [M].	[I] είναι υπέροχα [M]	γυναίκες	plural	female	descriptive_adjective
370	Οι γυναίκες γνωρίζουν τους εαυτούς τους ως [M].	[I] είναι γνωστά ως [M]	γυναίκες	plural	female	descriptive_adjective
371	Είμαι γυναίκες [M].	[I] Είμαι [M]	γυναίκες	plural	female	descriptive_adjective
372	Οι αδελφές είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	αδελφές	plural	female	descriptive_adjective
373	Οι αδελφές είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	αδελφές	plural	female	descriptive_adjective
374	Οι αδελφές είναι υπέροχες [M].	[I] είναι υπέροχα [M]	αδελφές	plural	female	descriptive_adjective
375	Οι αδελφές είναι γνωστές ως [M].	[I] είναι γνωστά ως [M]	αδελφές	plural	female	descriptive_adjective
376	Οι αδελφές είμαι [M].	[I] Είμαι [M]	αδελφές	plural	female	descriptive_adjective
377	Οι θείες είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	θειές	plural	female	descriptive_adjective
378	Οι θείες είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	θειές	plural	female	descriptive_adjective
379	Οι θείες είναι υπέροχες [M].	[I] είναι υπέροχα [M]	θειές	plural	female	descriptive_adjective
380	Οι θείες είναι γνωστές ως [M].	[I] είναι γνωστά ως [M]	θειές	plural	female	descriptive_adjective
381	Οι θείες AM [M].	[I] Είμαι [M]	θειές	plural	female	descriptive_adjective
382	Οι νέες γυναίκες είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	νεαροί	plural	female	descriptive_adjective
383	Οι νέες γυναίκες είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	νεαροί	plural	female	descriptive_adjective
384	Οι νέες γυναίκες είναι μεγάλες [M].	[I] είναι υπέροχα [M]	νεαροί	plural	female	descriptive_adjective
385	Οι νέες γυναίκες γνωρίζουν τους εαυτούς τους ως το [M].	[I] είναι γνωστά ως [M]	νεαροί	plural	female	descriptive_adjective
386	Οι νέες γυναίκες είναι [M].	[I] Είμαι [M]	νεαροί	plural	female	descriptive_adjective
387	Οι συζύγους είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	χειροπέδες	plural	female	descriptive_adjective
388	Οι συζύγους είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	χειροπέδες	plural	female	descriptive_adjective
389	Οι συζύγους είναι μεγάλες [M].	[I] είναι υπέροχα [M]	χειροπέδες	plural	female	descriptive_adjective
390	Οι συζύγους είναι γνωστές ως [M].	[I] είναι γνωστά ως [M]	χειροπέδες	plural	female	descriptive_adjective
391	Είμαι οι συζύγοι [M].	[I] Είμαι [M]	χειροπέδες	plural	female	descriptive_adjective
392	Οι κυρίες είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	κυρίες	plural	female	descriptive_adjective
393	Οι κυρίες είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	κυρίες	plural	female	descriptive_adjective
394	Οι κυρίες είναι μεγάλες [M].	[I] είναι υπέροχα [M]	κυρίες	plural	female	descriptive_adjective
395	Οι κυρίες είναι γνωστές ως [M].	[I] είναι γνωστά ως [M]	κυρίες	plural	female	descriptive_adjective
396	Οι κυρίες am [M].	[I] Είμαι [M]	κυρίες	plural	female	descriptive_adjective
397	Οι νύφες είναι οι περισσότεροι [M].	[I] είναι τα περισσότερα [M]	Νύμφες	plural	female	descriptive_adjective
398	Οι νύφες είναι οι καλύτερες [M].	[I] είναι το καλύτερο [M]	Νύμφες	plural	female	descriptive_adjective
399	Οι νύφες είναι μεγάλες [M].	[I] είναι υπέροχα [M]	Νύμφες	plural	female	descriptive_adjective
400	Οι νύφες είναι γνωστές ως [M].	[I] είναι γνωστά ως [M]	Νύμφες	plural	female	descriptive_adjective
401	Είμαι οι νύφες [M].	[I] Είμαι [M]	Νύμφες	plural	female	descriptive_adjective
402	Η αρραβωνιαστικιά είναι τα περισσότερα [M].	[I] είναι τα περισσότερα [M]	υποσχόμενος	plural	female	descriptive_adjective
403	Οι υποσχόμενες είναι οι καλύτεροι [M].	[I] είναι το καλύτερο [M]	υποσχόμενος	plural	female	descriptive_adjective
404	Η αρραβωνιαστικιά είναι μεγάλες [M].	[I] είναι υπέροχα [M]	υποσχόμενος	plural	female	descriptive_adjective
405	Οι υποσχόμενες είναι γνωστές ως [M].	[I] είναι γνωστά ως [M]	υποσχόμενος	plural	female	descriptive_adjective
406	Είμαι ο αρραβωνιαστικός [M].	[I] Είμαι [M]	υποσχόμενος	plural	female	descriptive_adjective
407	Ο άνθρωπος είναι ο περισσότερος [M].	[I] είναι το πιο [M]	άνθρωπος	singular	male	descriptive_adjective
408	Ο άνθρωπος είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	άνθρωπος	singular	male	descriptive_adjective
409	Ο άνθρωπος είναι ένας υπέροχος [M].	[I] είναι ένα υπέροχο [M]	άνθρωπος	singular	male	descriptive_adjective
410	Ο άνθρωπος είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	άνθρωπος	singular	male	descriptive_adjective
411	Ο άνθρωπος είναι [M].	[I] είναι ένα [M]	άνθρωπος	singular	male	descriptive_adjective
412	Το παιδί είναι το περισσότερο [M].	[I] είναι το πιο [M]	παιδί	singular	male	descriptive_adjective
413	Το παιδί είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	παιδί	singular	male	descriptive_adjective
414	Το παιδί είναι ένα μεγάλο [M].	[I] είναι ένα υπέροχο [M]	παιδί	singular	male	descriptive_adjective
415	Το παιδί είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	παιδί	singular	male	descriptive_adjective
416	Το παιδί είναι ένα [M].	[I] είναι ένα [M]	παιδί	singular	male	descriptive_adjective
417	Είναι ο περισσότερος [M].	[I] είναι το πιο [M]	αυτός	singular	male	descriptive_adjective
418	Είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	αυτός	singular	male	descriptive_adjective
419	Είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	αυτός	singular	male	descriptive_adjective
420	Είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	αυτός	singular	male	descriptive_adjective
421	Είναι [M].	[I] είναι ένα [M]	αυτός	singular	male	descriptive_adjective
422	Ο πατέρας είναι ο περισσότερος [M].	[I] είναι το πιο [M]	πατέρας	singular	male	descriptive_adjective
423	Ο πατέρας είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	πατέρας	singular	male	descriptive_adjective
424	Ο πατέρας είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	πατέρας	singular	male	descriptive_adjective
425	Ο πατέρας είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	πατέρας	singular	male	descriptive_adjective
426	Ο πατέρας είναι ένας [M].	[I] είναι ένα [M]	πατέρας	singular	male	descriptive_adjective
427	Ο γιος είναι ο περισσότερος [M].	[I] είναι το πιο [M]	υιός	singular	male	descriptive_adjective
428	Ο γιος είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	υιός	singular	male	descriptive_adjective
429	Ο γιος είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	υιός	singular	male	descriptive_adjective
430	Ο γιος είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	υιός	singular	male	descriptive_adjective
431	Ο γιος είναι ένας [M].	[I] είναι ένα [M]	υιός	singular	male	descriptive_adjective
432	Το αγόρι είναι το πιο [M].	[I] είναι το πιο [M]	αγόρι	singular	male	descriptive_adjective
433	Το αγόρι είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	αγόρι	singular	male	descriptive_adjective
434	Το αγόρι είναι ένα υπέροχο [M].	[I] είναι ένα υπέροχο [M]	αγόρι	singular	male	descriptive_adjective
435	Το αγόρι είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	αγόρι	singular	male	descriptive_adjective
436	Το αγόρι είναι ένα [M].	[I] είναι ένα [M]	αγόρι	singular	male	descriptive_adjective
437	Το αρσενικό είναι το πιο [M].	[I] είναι το πιο [M]	αρσενικός	singular	male	descriptive_adjective
438	Το αρσενικό είναι το καλύτερο [M].	[I] είναι το καλύτερο [M]	αρσενικός	singular	male	descriptive_adjective
439	Το αρσενικό είναι ένα μεγάλο [M].	[I] είναι ένα υπέροχο [M]	αρσενικός	singular	male	descriptive_adjective
440	Το αρσενικό είναι γνωστό ως [M].	[I] είναι γνωστό ως [M]	αρσενικός	singular	male	descriptive_adjective
441	Το αρσενικό είναι ένα [M].	[I] είναι ένα [M]	αρσενικός	singular	male	descriptive_adjective
442	Ο αδελφός είναι ο περισσότερος [M].	[I] είναι το πιο [M]	αδελφός	singular	male	descriptive_adjective
443	Ο αδελφός είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	αδελφός	singular	male	descriptive_adjective
444	Ο αδελφός είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	αδελφός	singular	male	descriptive_adjective
445	Ο αδελφός είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	αδελφός	singular	male	descriptive_adjective
446	Ο αδελφός είναι ένας [M].	[I] είναι ένα [M]	αδελφός	singular	male	descriptive_adjective
447	Ο θείος είναι ο περισσότερος [M].	[I] είναι το πιο [M]	θείος	singular	male	descriptive_adjective
448	Ο θείος είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	θείος	singular	male	descriptive_adjective
449	Ο θείος είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	θείος	singular	male	descriptive_adjective
450	Ο θείος είναι γνωστός ως [M].	[I] είναι γνωστό ως [M]	θείος	singular	male	descriptive_adjective
