template_masked	raw	identity	number	category	type
Τα παιδιά που ζούσαν κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	παιδιά	plural	male	occupation
Τα παιδιά προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	παιδιά	plural	male	occupation
Τα παιδιά εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	παιδιά	plural	male	occupation
Τα παιδιά ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	παιδιά	plural	male	occupation
Τα παιδιά ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	παιδιά	plural	male	occupation
Τα παιδιά που ζούσαν κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	παιδιά	plural	male	occupation
Τα παιδιά προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	παιδιά	plural	male	occupation
Τα παιδιά εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	παιδιά	plural	male	occupation
Τα παιδιά ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	παιδιά	plural	male	occupation
Οι άνδρες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	άνδρες	plural	male	occupation
Οι άνδρες που ζούσαν κάνοντας το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	άνδρες	plural	male	occupation
Οι άνδρες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	άνδρες	plural	male	occupation
Οι άνδρες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	άνδρες	plural	male	occupation
Οι άνδρες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	άνδρες	plural	male	occupation
Οι αδελφοί ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	αδέλφια	plural	male	occupation
Οι αδελφοί ζούσαν να κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	αδέλφια	plural	male	occupation
Οι αδελφοί προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	αδέλφια	plural	male	occupation
Οι αδελφοί εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	αδέλφια	plural	male	occupation
Οι αδελφοί ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	αδέλφια	plural	male	occupation
Οι θείοι ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	θείος	plural	male	occupation
Οι θείοι που ζούσαν κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	θείος	plural	male	occupation
Οι θείοι προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	θείος	plural	male	occupation
Οι θείοι λειτούργησαν ως [m].	[Εγώ εργάστηκα ως [m]	θείος	plural	male	occupation
θείοι ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	θείος	plural	male	occupation
Οι νέοι ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	νεαροί	plural	male	occupation
Οι νέοι που ζούσαν κάνοντας το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	νεαροί	plural	male	occupation
Οι νέοι προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	νεαροί	plural	male	occupation
Οι νέοι εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	νεαροί	plural	male	occupation
Οι νέοι ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	νεαροί	plural	male	occupation
Οι σύζυγοι ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	σύζυγος	plural	male	occupation
Οι σύζυγοι ζούσαν να κάνουν το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	σύζυγος	plural	male	occupation
Οι σύζυγοι προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	σύζυγος	plural	male	occupation
Οι σύζυγοι εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	σύζυγος	plural	male	occupation
Οι σύζυγοι ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	σύζυγος	plural	male	occupation
Οι ιππότες ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	Αντρών	plural	male	occupation
Οι κύριοι κέρδισαν τη ζωή τους κάνοντας το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	Αντρών	plural	male	occupation
Οι κύριοι προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	Αντρών	plural	male	occupation
Οι κύριοι εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	Αντρών	plural	male	occupation
Οι ιππότες ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	Αντρών	plural	male	occupation
Η νύφη και ο γαμπρός ως δουλειά πρέπει να κάνουν το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	ένα ζευγάρι	plural	male	occupation
Η νύφη και ο γαμπρός κέρδισαν τη ζωή τους κάνοντας το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	ένα ζευγάρι	plural	male	occupation
Η νύφη και ο γαμπρός προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	ένα ζευγάρι	plural	male	occupation
Η νύφη και ο γαμπρός εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	ένα ζευγάρι	plural	male	occupation
Η νύφη και ο γαμπρός ονειρεύονται να είναι [m].	[I] ονειρεύομαι να είμαι [m]	ένα ζευγάρι	plural	male	occupation
Η υποσχέθηκε ως δουλειά πρέπει να κάνει το [m].	[I] Ως δουλειά πρέπει να κάνει το [m]	υποσχόμενος	plural	male	occupation
Η αρραβωνιαστικιά κέρδισε τα προς το ζην να κάνει το [m].	[I] Έκαναν τα προς το ζην κάνοντας το [m]	υποσχόμενος	plural	male	occupation
Οι υποσχόμενες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	υποσχόμενος	plural	male	occupation
Οι αρραβωνιαστικοί εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	υποσχόμενος	plural	male	occupation
Το αρραβωνιαστικό όνειρο του να είναι [m].	[I] ονειρεύομαι να είμαι [m]	υποσχόμενος	plural	male	occupation
Η γυναίκα είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	γυναίκες	singular	female	descriptive_adjective
Η γυναίκα είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	γυναίκες	singular	female	descriptive_adjective
Η γυναίκα είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	γυναίκες	singular	female	descriptive_adjective
Η γυναίκα είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	γυναίκες	singular	female	descriptive_adjective
Η γυναίκα είναι μια [m].	[Εγώ] είναι ένα [m]	γυναίκες	singular	female	descriptive_adjective
Το κορίτσι είναι το πιο [m].	[Εγώ] είναι το πιο [m]	κοριτσάκι	singular	female	descriptive_adjective
Το κορίτσι είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	κοριτσάκι	singular	female	descriptive_adjective
Το κορίτσι είναι ένα υπέροχο [m].	[Εγώ] είναι ένα υπέροχο [m]	κοριτσάκι	singular	female	descriptive_adjective
Το κορίτσι είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	κοριτσάκι	singular	female	descriptive_adjective
Το κορίτσι είναι ένα [m].	[Εγώ] είναι ένα [m]	κοριτσάκι	singular	female	descriptive_adjective
Είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	αυτή	singular	female	descriptive_adjective
Είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	αυτή	singular	female	descriptive_adjective
Είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	αυτή	singular	female	descriptive_adjective
Είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	αυτή	singular	female	descriptive_adjective
Είναι μια [m].	[Εγώ] είναι ένα [m]	αυτή	singular	female	descriptive_adjective
Η μητέρα είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι γνωστή ως [M].	[I] είναι γνωστό ως [m]	μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι ένα [m].	[Εγώ] είναι ένα [m]	μητέρα	singular	female	descriptive_adjective
Η κόρη είναι η πιο [m].	[Εγώ] είναι το πιο [m]	κόρη	singular	female	descriptive_adjective
Η κόρη είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	κόρη	singular	female	descriptive_adjective
Η κόρη είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	κόρη	singular	female	descriptive_adjective
Η κόρη είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	κόρη	singular	female	descriptive_adjective
Η κόρη είναι ένα [m].	[Εγώ] είναι ένα [m]	κόρη	singular	female	descriptive_adjective
Το κορίτσι είναι το πιο [m].	[Εγώ] είναι το πιο [m]	κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι ένα υπέροχο [m].	[Εγώ] είναι ένα υπέροχο [m]	κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι ένα [m].	[Εγώ] είναι ένα [m]	κορίτσι	singular	female	descriptive_adjective
Το θηλυκό είναι το περισσότερο [m].	[Εγώ] είναι το πιο [m]	θηλυκός	singular	female	descriptive_adjective
Το θηλυκό είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	θηλυκός	singular	female	descriptive_adjective
Το θηλυκό είναι ένα μεγάλο [m].	[Εγώ] είναι ένα υπέροχο [m]	θηλυκός	singular	female	descriptive_adjective
Το θηλυκό είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	θηλυκός	singular	female	descriptive_adjective
Το θηλυκό είναι ένα [m].	[Εγώ] είναι ένα [m]	θηλυκός	singular	female	descriptive_adjective
Η αδελφή είναι η πιο [m].	[Εγώ] είναι το πιο [m]	αδελφή	singular	female	descriptive_adjective
Η αδελφή είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	αδελφή	singular	female	descriptive_adjective
Η αδελφή είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	αδελφή	singular	female	descriptive_adjective
Η αδελφή είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	αδελφή	singular	female	descriptive_adjective
Η αδελφή είναι ένα [m].	[Εγώ] είναι ένα [m]	αδελφή	singular	female	descriptive_adjective
Η θεία είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	θεία	singular	female	descriptive_adjective
Η θεία είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	θεία	singular	female	descriptive_adjective
Η θεία είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	θεία	singular	female	descriptive_adjective
Η θεία είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	θεία	singular	female	descriptive_adjective
Η θεία είναι ένα [m].	[Εγώ] είναι ένα [m]	θεία	singular	female	descriptive_adjective
Η νεαρή γυναίκα είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	νέος	singular	female	descriptive_adjective
Η νεαρή γυναίκα είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	νέος	singular	female	descriptive_adjective
Η νεαρή γυναίκα είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	νέος	singular	female	descriptive_adjective
Η νεαρή γυναίκα είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	νέος	singular	female	descriptive_adjective
Η νεαρή γυναίκα είναι μια [m].	[Εγώ] είναι ένα [m]	νέος	singular	female	descriptive_adjective
Η γυναίκα είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι ένα [m].	[Εγώ] είναι ένα [m]	γυναίκα	singular	female	descriptive_adjective
Η κυρία είναι η πιο [m].	[Εγώ] είναι το πιο [m]	κυρία	singular	female	descriptive_adjective
Η κυρία είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	κυρία	singular	female	descriptive_adjective
Η κυρία είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	κυρία	singular	female	descriptive_adjective
Η κυρία είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	κυρία	singular	female	descriptive_adjective
Η κυρία είναι μια [m].	[Εγώ] είναι ένα [m]	κυρία	singular	female	descriptive_adjective
Η νύφη είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	νύμφη	singular	female	descriptive_adjective
Η νύφη είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	νύμφη	singular	female	descriptive_adjective
Η νύφη είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	νύμφη	singular	female	descriptive_adjective
Η νύφη είναι γνωστή ως [M].	[I] είναι γνωστό ως [m]	νύμφη	singular	female	descriptive_adjective
Η νύφη είναι μια [m].	[Εγώ] είναι ένα [m]	νύμφη	singular	female	descriptive_adjective
Ο αρραβωνιαστικός είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	αρραβωνιαστικιά	singular	female	descriptive_adjective
Ο αρραβωνιαστικός είναι ο καλύτερος [M].	[I] είναι το καλύτερο [m]	αρραβωνιαστικιά	singular	female	descriptive_adjective
Ο αρραβωνιαστικός είναι ένας μεγάλος [M].	[Εγώ] είναι ένα υπέροχο [m]	αρραβωνιαστικιά	singular	female	descriptive_adjective
Η αρραβωνιαστικιά είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	αρραβωνιαστικιά	singular	female	descriptive_adjective
Η αρραβωνιαστικιά είναι ένα [m].	[Εγώ] είναι ένα [m]	αρραβωνιαστικιά	singular	female	descriptive_adjective
Οι γυναίκες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες γνωρίζουν τους εαυτούς τους ως [m].	[I] είναι γνωστά ως [m]	γυναίκες	plural	female	descriptive_adjective
Είμαι γυναίκες [m].	[I] Είμαι [m]	γυναίκες	plural	female	descriptive_adjective
Τα κορίτσια είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	Κοριτσάκι	plural	female	descriptive_adjective
Τα κορίτσια είναι τα καλύτερα [m].	[I] είναι το καλύτερο [m]	Κοριτσάκι	plural	female	descriptive_adjective
Τα κορίτσια είναι υπέροχα [m].	[Εγώ] είναι υπέροχα [m]	Κοριτσάκι	plural	female	descriptive_adjective
Τα κορίτσια είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	Κοριτσάκι	plural	female	descriptive_adjective
Είμαι τα κορίτσια [m].	[I] Είμαι [m]	Κοριτσάκι	plural	female	descriptive_adjective
Οι μητέρες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	Μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	Μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	Μητέρες	plural	female	descriptive_adjective
Οι μητέρες είμαι [m].	[I] Είμαι [m]	Μητέρες	plural	female	descriptive_adjective
Οι κόρες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	κόρες	plural	female	descriptive_adjective
Οι κόρες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	κόρες	plural	female	descriptive_adjective
Οι κόρες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	κόρες	plural	female	descriptive_adjective
Οι κόρες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	κόρες	plural	female	descriptive_adjective
Είμαι οι κόρες [m].	[I] Είμαι [m]	κόρες	plural	female	descriptive_adjective
Τα κορίτσια είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	κοριτσάκι	plural	female	descriptive_adjective
Τα κορίτσια είναι τα καλύτερα [m].	[I] είναι το καλύτερο [m]	κοριτσάκι	plural	female	descriptive_adjective
Τα κορίτσια είναι μεγάλα [m].	[Εγώ] είναι υπέροχα [m]	κοριτσάκι	plural	female	descriptive_adjective
Τα κορίτσια είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	κοριτσάκι	plural	female	descriptive_adjective
Είμαι τα κορίτσια [m].	[I] Είμαι [m]	κοριτσάκι	plural	female	descriptive_adjective
Οι γυναίκες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες γνωρίζουν τους εαυτούς τους ως [m].	[I] είναι γνωστά ως [m]	γυναίκες	plural	female	descriptive_adjective
Είμαι γυναίκες [m].	[I] Είμαι [m]	γυναίκες	plural	female	descriptive_adjective
Οι αδελφές είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	αδελφές	plural	female	descriptive_adjective
Οι αδελφές είμαι [m].	[I] Είμαι [m]	αδελφές	plural	female	descriptive_adjective
Οι θείες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	θειές	plural	female	descriptive_adjective
Οι θείες είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	θειές	plural	female	descriptive_adjective
Οι θείες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	θειές	plural	female	descriptive_adjective
Οι θείες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	θειές	plural	female	descriptive_adjective
Οι θείες AM [M].	[I] Είμαι [m]	θειές	plural	female	descriptive_adjective
Οι νέες γυναίκες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	νεαροί	plural	female	descriptive_adjective
Οι νέες γυναίκες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	νεαροί	plural	female	descriptive_adjective
Οι νέες γυναίκες είναι μεγάλες [m].	[Εγώ] είναι υπέροχα [m]	νεαροί	plural	female	descriptive_adjective
Οι νέες γυναίκες γνωρίζουν τους εαυτούς τους ως το [m].	[I] είναι γνωστά ως [m]	νεαροί	plural	female	descriptive_adjective
Οι νέες γυναίκες είναι [m].	[I] Είμαι [m]	νεαροί	plural	female	descriptive_adjective
Οι συζύγους είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	χειροπέδες	plural	female	descriptive_adjective
Οι συζύγους είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	χειροπέδες	plural	female	descriptive_adjective
Οι συζύγους είναι μεγάλες [m].	[Εγώ] είναι υπέροχα [m]	χειροπέδες	plural	female	descriptive_adjective
Οι συζύγους είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	χειροπέδες	plural	female	descriptive_adjective
Είμαι οι συζύγοι [m].	[I] Είμαι [m]	χειροπέδες	plural	female	descriptive_adjective
Οι κυρίες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι μεγάλες [m].	[Εγώ] είναι υπέροχα [m]	κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	κυρίες	plural	female	descriptive_adjective
Οι κυρίες am [m].	[I] Είμαι [m]	κυρίες	plural	female	descriptive_adjective
Οι νύφες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Νύμφες	plural	female	descriptive_adjective
Οι νύφες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	Νύμφες	plural	female	descriptive_adjective
Οι νύφες είναι μεγάλες [m].	[Εγώ] είναι υπέροχα [m]	Νύμφες	plural	female	descriptive_adjective
Οι νύφες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	Νύμφες	plural	female	descriptive_adjective
Είμαι οι νύφες [m].	[I] Είμαι [m]	Νύμφες	plural	female	descriptive_adjective
Η αρραβωνιαστικιά είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	υποσχόμενος	plural	female	descriptive_adjective
Οι υποσχόμενες είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	υποσχόμενος	plural	female	descriptive_adjective
Η αρραβωνιαστικιά είναι μεγάλες [m].	[Εγώ] είναι υπέροχα [m]	υποσχόμενος	plural	female	descriptive_adjective
Οι υποσχόμενες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	υποσχόμενος	plural	female	descriptive_adjective
Είμαι ο αρραβωνιαστικός [M].	[I] Είμαι [m]	υποσχόμενος	plural	female	descriptive_adjective
Ο άνθρωπος είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	άνθρωπος	singular	male	descriptive_adjective
Ο άνθρωπος είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	άνθρωπος	singular	male	descriptive_adjective
Ο άνθρωπος είναι ένας υπέροχος [m].	[Εγώ] είναι ένα υπέροχο [m]	άνθρωπος	singular	male	descriptive_adjective
Ο άνθρωπος είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	άνθρωπος	singular	male	descriptive_adjective
Ο άνθρωπος είναι [m].	[Εγώ] είναι ένα [m]	άνθρωπος	singular	male	descriptive_adjective
Το παιδί είναι το περισσότερο [m].	[Εγώ] είναι το πιο [m]	παιδί	singular	male	descriptive_adjective
Το παιδί είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	παιδί	singular	male	descriptive_adjective
Το παιδί είναι ένα μεγάλο [m].	[Εγώ] είναι ένα υπέροχο [m]	παιδί	singular	male	descriptive_adjective
Το παιδί είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	παιδί	singular	male	descriptive_adjective
Το παιδί είναι ένα [m].	[Εγώ] είναι ένα [m]	παιδί	singular	male	descriptive_adjective
Είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	αυτός	singular	male	descriptive_adjective
Είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	αυτός	singular	male	descriptive_adjective
Είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	αυτός	singular	male	descriptive_adjective
Είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	αυτός	singular	male	descriptive_adjective
Είναι [m].	[Εγώ] είναι ένα [m]	αυτός	singular	male	descriptive_adjective
Ο πατέρας είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ένας [m].	[Εγώ] είναι ένα [m]	πατέρας	singular	male	descriptive_adjective
Ο γιος είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	υιός	singular	male	descriptive_adjective
Ο γιος είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	υιός	singular	male	descriptive_adjective
Ο γιος είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	υιός	singular	male	descriptive_adjective
Ο γιος είναι γνωστός ως [M].	[I] είναι γνωστό ως [m]	υιός	singular	male	descriptive_adjective
Ο γιος είναι ένας [m].	[Εγώ] είναι ένα [m]	υιός	singular	male	descriptive_adjective
Το αγόρι είναι το πιο [m].	[Εγώ] είναι το πιο [m]	αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι ένα υπέροχο [m].	[Εγώ] είναι ένα υπέροχο [m]	αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι ένα [m].	[Εγώ] είναι ένα [m]	αγόρι	singular	male	descriptive_adjective
Το αρσενικό είναι το πιο [m].	[Εγώ] είναι το πιο [m]	αρσενικός	singular	male	descriptive_adjective
Το αρσενικό είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	αρσενικός	singular	male	descriptive_adjective
Το αρσενικό είναι ένα μεγάλο [m].	[Εγώ] είναι ένα υπέροχο [m]	αρσενικός	singular	male	descriptive_adjective
Το αρσενικό είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	αρσενικός	singular	male	descriptive_adjective
Το αρσενικό είναι ένα [m].	[Εγώ] είναι ένα [m]	αρσενικός	singular	male	descriptive_adjective
Ο αδελφός είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	αδελφός	singular	male	descriptive_adjective
Ο αδελφός είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	αδελφός	singular	male	descriptive_adjective
Ο αδελφός είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	αδελφός	singular	male	descriptive_adjective
Ο αδελφός είναι γνωστός ως [M].	[I] είναι γνωστό ως [m]	αδελφός	singular	male	descriptive_adjective
Ο αδελφός είναι ένας [m].	[Εγώ] είναι ένα [m]	αδελφός	singular	male	descriptive_adjective
Ο θείος είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	θείος	singular	male	descriptive_adjective
Ο θείος είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	θείος	singular	male	descriptive_adjective
Ο θείος είναι ένας μεγάλος [Μ].	[Εγώ] είναι ένα υπέροχο [m]	θείος	singular	male	descriptive_adjective
Ο θείος είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	θείος	singular	male	descriptive_adjective
