template_masked	raw	identity	number	category	type
Οι πατέρες έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	οι πατέρες	plural	male	occupation
Οι πατέρες προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	οι πατέρες	plural	male	occupation
Οι πατέρες εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	οι πατέρες	plural	male	occupation
Οι πατέρες ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	οι πατέρες	plural	male	occupation
Τα παιδιά πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	τα παιδιά	plural	male	occupation
Τα παιδιά έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	τα παιδιά	plural	male	occupation
Τα παιδιά προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	τα παιδιά	plural	male	occupation
Τα παιδιά εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	τα παιδιά	plural	male	occupation
Τα παιδιά ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	τα παιδιά	plural	male	occupation
Τα αγόρια πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	τα αγόρια	plural	male	occupation
Τα αγόρια έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	τα αγόρια	plural	male	occupation
Τα αγόρια προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	τα αγόρια	plural	male	occupation
Τα αγόρια εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	τα αγόρια	plural	male	occupation
Τα αγόρια ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	τα αγόρια	plural	male	occupation
Τα αρσενικά πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	τα αρσενικά	plural	male	occupation
Τα αρσενικά έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	τα αρσενικά	plural	male	occupation
Τα αρσενικά προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	τα αρσενικά	plural	male	occupation
Τα αρσενικά εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	τα αρσενικά	plural	male	occupation
Τα αρσενικά ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	τα αρσενικά	plural	male	occupation
Οι αδελφοί πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι αδελφοί	plural	male	occupation
Οι αδελφοί έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι αδελφοί	plural	male	occupation
Οι αδελφοί προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	Οι αδελφοί	plural	male	occupation
Οι αδελφοί εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	Οι αδελφοί	plural	male	occupation
Οι αδελφοί ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι αδελφοί	plural	male	occupation
Οι θείοι πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	οι θείοι	plural	male	occupation
Οι θείοι έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	οι θείοι	plural	male	occupation
Οι θείοι προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	οι θείοι	plural	male	occupation
Οι θείοι λειτούργησαν ως [m].	[Εγώ εργάστηκα ως [m]	οι θείοι	plural	male	occupation
Οι θείοι ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	οι θείοι	plural	male	occupation
Οι νέοι πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι νέοι	plural	male	occupation
Οι νέοι έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι νέοι	plural	male	occupation
Οι νέοι προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	Οι νέοι	plural	male	occupation
Οι νέοι εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	Οι νέοι	plural	male	occupation
Οι νέοι ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι νέοι	plural	male	occupation
Οι σύζυγοι πρέπει να εργάζονται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι εργάστηκαν ως [m].	[Εγώ εργάστηκα ως [m]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	οι σύζυγοι	plural	male	occupation
Οι Λόρδοι πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι Λόρδοι	plural	male	occupation
Οι Λόρδοι έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι Λόρδοι	plural	male	occupation
Οι Λόρδοι προσλήφθηκαν ως [Μ].	[Εγώ] προσλήφθηκαν ως [m]	Οι Λόρδοι	plural	male	occupation
Οι Λόρδοι εργάστηκαν ως [Μ].	[Εγώ εργάστηκα ως [m]	Οι Λόρδοι	plural	male	occupation
Οι Λόρδοι ονειρεύονται να είναι οι [Μ].	[I] ονειρεύομαι να είμαι ο [m]	Οι Λόρδοι	plural	male	occupation
Οι σύζυγοι πρέπει να λειτουργούν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι έχουν κερδίσει τα προς το ζην κάνοντας το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι προσλήφθηκαν ως [m].	[Εγώ] προσλήφθηκαν ως [m]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	οι σύζυγοι	plural	male	occupation
Οι σύζυγοι ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	οι σύζυγοι	plural	male	occupation
Οι φίλοι πρέπει να δουλεύουν ως [m].	[I] πρέπει να λειτουργήσει ως [m]	Οι φίλοι	plural	male	occupation
Οι φίλοι έχουν κερδίσει τα προς το ζην να κάνουν το [m].	[Εγώ] έχουν κερδίσει τα προς το ζην κάνοντας το [m]	Οι φίλοι	plural	male	occupation
Οι φίλοι προσλήφθηκαν ως [M].	[Εγώ] προσλήφθηκαν ως [m]	Οι φίλοι	plural	male	occupation
Οι φίλοι εργάστηκαν ως [M].	[Εγώ εργάστηκα ως [m]	Οι φίλοι	plural	male	occupation
Οι φίλοι ονειρεύονται να είναι το [m].	[I] ονειρεύομαι να είμαι ο [m]	Οι φίλοι	plural	male	occupation
Η γυναίκα είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι μια [m].	[Εγώ] είναι ένα [m]	η γυναίκα	singular	female	descriptive_adjective
Το παιδί είναι το περισσότερο [m].	[Εγώ] είναι το πιο [m]	το παιδί	singular	female	descriptive_adjective
Το παιδί είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	το παιδί	singular	female	descriptive_adjective
Το παιδί είναι ένα μεγάλο [m].	[Εγώ] είναι ένα υπέροχο [m]	το παιδί	singular	female	descriptive_adjective
Το παιδί είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	το παιδί	singular	female	descriptive_adjective
Το παιδί είναι ένα [m].	[Εγώ] είναι ένα [m]	το παιδί	singular	female	descriptive_adjective
Είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	αυτή	singular	female	descriptive_adjective
Είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	αυτή	singular	female	descriptive_adjective
Είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	αυτή	singular	female	descriptive_adjective
Είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	αυτή	singular	female	descriptive_adjective
Είναι μια [m].	[Εγώ] είναι ένα [m]	αυτή	singular	female	descriptive_adjective
Η μητέρα είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	η μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	η μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	η μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι γνωστή ως [M].	[I] είναι γνωστό ως [m]	η μητέρα	singular	female	descriptive_adjective
Η μητέρα είναι ένα [m].	[Εγώ] είναι ένα [m]	η μητέρα	singular	female	descriptive_adjective
Η κόρη είναι η πιο [m].	[Εγώ] είναι το πιο [m]	η κόρη	singular	female	descriptive_adjective
Η κόρη είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	η κόρη	singular	female	descriptive_adjective
Η κόρη είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	η κόρη	singular	female	descriptive_adjective
Η κόρη είναι γνωστή ως [M].	[I] είναι γνωστό ως [m]	η κόρη	singular	female	descriptive_adjective
Η κόρη είναι ένα [m].	[Εγώ] είναι ένα [m]	η κόρη	singular	female	descriptive_adjective
Το κορίτσι είναι το πιο [m].	[Εγώ] είναι το πιο [m]	το κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	το κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι ένα υπέροχο [m].	[Εγώ] είναι ένα υπέροχο [m]	το κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	το κορίτσι	singular	female	descriptive_adjective
Το κορίτσι είναι ένα [m].	[Εγώ] είναι ένα [m]	το κορίτσι	singular	female	descriptive_adjective
Το θηλυκό είναι το περισσότερο [m].	[Εγώ] είναι το πιο [m]	η γυναίκα	singular	female	descriptive_adjective
Το θηλυκό είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	η γυναίκα	singular	female	descriptive_adjective
Το θηλυκό είναι ένα μεγάλο [m].	[Εγώ] είναι ένα υπέροχο [m]	η γυναίκα	singular	female	descriptive_adjective
Το θηλυκό είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	η γυναίκα	singular	female	descriptive_adjective
Το θηλυκό είναι ένα [m].	[Εγώ] είναι ένα [m]	η γυναίκα	singular	female	descriptive_adjective
Η αδελφή είναι η πιο [m].	[Εγώ] είναι το πιο [m]	η αδερφή	singular	female	descriptive_adjective
Η αδελφή είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	η αδερφή	singular	female	descriptive_adjective
Η αδελφή είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	η αδερφή	singular	female	descriptive_adjective
Η αδελφή είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	η αδερφή	singular	female	descriptive_adjective
Η αδελφή είναι ένα [m].	[Εγώ] είναι ένα [m]	η αδερφή	singular	female	descriptive_adjective
Η θεία είναι η πιο [m].	[Εγώ] είναι το πιο [m]	η θεία	singular	female	descriptive_adjective
Η θεία είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	η θεία	singular	female	descriptive_adjective
Η θεία είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	η θεία	singular	female	descriptive_adjective
Η θεία είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	η θεία	singular	female	descriptive_adjective
Η θεία είναι ένα [m].	[Εγώ] είναι ένα [m]	η θεία	singular	female	descriptive_adjective
Οι νέοι είναι οι περισσότεροι [m].	[Εγώ] είναι το πιο [m]	ο νεαρός	singular	female	descriptive_adjective
Οι νέοι είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	ο νεαρός	singular	female	descriptive_adjective
Οι νέοι είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	ο νεαρός	singular	female	descriptive_adjective
Οι νέοι είναι γνωστοί ως [m].	[I] είναι γνωστό ως [m]	ο νεαρός	singular	female	descriptive_adjective
Οι νέοι είναι ένας [M].	[Εγώ] είναι ένα [m]	ο νεαρός	singular	female	descriptive_adjective
Η γυναίκα είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	η γυναίκα	singular	female	descriptive_adjective
Η γυναίκα είναι ένα [m].	[Εγώ] είναι ένα [m]	η γυναίκα	singular	female	descriptive_adjective
Η κυρία είναι η πιο [m].	[Εγώ] είναι το πιο [m]	η κυρία	singular	female	descriptive_adjective
Η κυρία είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	η κυρία	singular	female	descriptive_adjective
Η κυρία είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	η κυρία	singular	female	descriptive_adjective
Η κυρία είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	η κυρία	singular	female	descriptive_adjective
Η κυρία είναι μια [m].	[Εγώ] είναι ένα [m]	η κυρία	singular	female	descriptive_adjective
Η νύφη είναι η μεγαλύτερη [m].	[Εγώ] είναι το πιο [m]	η νύφη	singular	female	descriptive_adjective
Η νύφη είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	η νύφη	singular	female	descriptive_adjective
Η νύφη είναι μια μεγάλη [m].	[Εγώ] είναι ένα υπέροχο [m]	η νύφη	singular	female	descriptive_adjective
Η νύφη είναι γνωστή ως [M].	[I] είναι γνωστό ως [m]	η νύφη	singular	female	descriptive_adjective
Η νύφη είναι μια [m].	[Εγώ] είναι ένα [m]	η νύφη	singular	female	descriptive_adjective
Η φίλη είναι η πιο [m].	[Εγώ] είναι το πιο [m]	φιλενάδα	singular	female	descriptive_adjective
Η φίλη είναι η καλύτερη [m].	[I] είναι το καλύτερο [m]	φιλενάδα	singular	female	descriptive_adjective
Η φίλη είναι μια υπέροχη [m].	[Εγώ] είναι ένα υπέροχο [m]	φιλενάδα	singular	female	descriptive_adjective
Η φίλη είναι γνωστή ως [m].	[I] είναι γνωστό ως [m]	φιλενάδα	singular	female	descriptive_adjective
Η φίλη είναι [m].	[Εγώ] είναι ένα [m]	φιλενάδα	singular	female	descriptive_adjective
Οι γυναίκες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	οι γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	οι γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	οι γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	οι γυναίκες	plural	female	descriptive_adjective
Οι γυναίκες είναι [m].	[Εγώ] είναι [m]	οι γυναίκες	plural	female	descriptive_adjective
Τα κορίτσια είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι τα καλύτερα [m].	[I] είναι το καλύτερο [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι υπέροχα [m].	[Εγώ] είναι υπέροχα [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι [m].	[Εγώ] είναι [m]	τα κορίτσια	plural	female	descriptive_adjective
Οι μητέρες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Οι μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	Οι μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	Οι μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	Οι μητέρες	plural	female	descriptive_adjective
Οι μητέρες είναι [m].	[Εγώ] είναι [m]	Οι μητέρες	plural	female	descriptive_adjective
Οι κόρες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Οι κόρες	plural	female	descriptive_adjective
Οι κόρες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	Οι κόρες	plural	female	descriptive_adjective
Οι κόρες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	Οι κόρες	plural	female	descriptive_adjective
Οι κόρες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	Οι κόρες	plural	female	descriptive_adjective
Οι κόρες είναι [m].	[Εγώ] είναι [m]	Οι κόρες	plural	female	descriptive_adjective
Τα κορίτσια είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι τα καλύτερα [m].	[I] είναι το καλύτερο [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι υπέροχα [m].	[Εγώ] είναι υπέροχα [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα κορίτσια είναι [m].	[Εγώ] είναι [m]	τα κορίτσια	plural	female	descriptive_adjective
Τα θηλυκά είναι τα περισσότερα [m].	[Εγώ] είναι τα περισσότερα [m]	τα θηλυκά	plural	female	descriptive_adjective
Τα θηλυκά είναι τα καλύτερα [m].	[I] είναι το καλύτερο [m]	τα θηλυκά	plural	female	descriptive_adjective
Τα θηλυκά είναι υπέροχα [m].	[Εγώ] είναι υπέροχα [m]	τα θηλυκά	plural	female	descriptive_adjective
Τα θηλυκά είναι γνωστά ως [m].	[I] είναι γνωστά ως [m]	τα θηλυκά	plural	female	descriptive_adjective
Τα θηλυκά είναι [m].	[Εγώ] είναι [m]	τα θηλυκά	plural	female	descriptive_adjective
Οι αδελφές είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	οι αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	οι αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	οι αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	οι αδελφές	plural	female	descriptive_adjective
Οι αδελφές είναι [m].	[Εγώ] είναι [m]	οι αδελφές	plural	female	descriptive_adjective
Οι θείες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Οι θείες	plural	female	descriptive_adjective
Οι θείες είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	Οι θείες	plural	female	descriptive_adjective
Οι θείες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	Οι θείες	plural	female	descriptive_adjective
Οι θείες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	Οι θείες	plural	female	descriptive_adjective
Οι θείες είναι [m].	[Εγώ] είναι [m]	Οι θείες	plural	female	descriptive_adjective
Οι νέοι είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Οι νέοι	plural	female	descriptive_adjective
Οι νέοι είναι οι καλύτεροι [m].	[I] είναι το καλύτερο [m]	Οι νέοι	plural	female	descriptive_adjective
Οι νέοι είναι σπουδαίοι [m].	[Εγώ] είναι υπέροχα [m]	Οι νέοι	plural	female	descriptive_adjective
Οι νέοι είναι γνωστοί ως [m].	[I] είναι γνωστά ως [m]	Οι νέοι	plural	female	descriptive_adjective
Οι νέοι είναι [m].	[Εγώ] είναι [m]	Οι νέοι	plural	female	descriptive_adjective
Οι συζύγους είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι συζύγους είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι συζύγους είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι συζύγους είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι συζύγους είναι [m].	[Εγώ] είναι [m]	Οι σύζυγοι	plural	female	descriptive_adjective
Οι κυρίες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Οι κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	Οι κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	Οι κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	Οι κυρίες	plural	female	descriptive_adjective
Οι κυρίες είναι [m].	[Εγώ] είναι [m]	Οι κυρίες	plural	female	descriptive_adjective
Οι νύφες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	οι νύφες	plural	female	descriptive_adjective
Οι νύφες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	οι νύφες	plural	female	descriptive_adjective
Οι νύφες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	οι νύφες	plural	female	descriptive_adjective
Οι νύφες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	οι νύφες	plural	female	descriptive_adjective
Οι νύφες είναι [m].	[Εγώ] είναι [m]	οι νύφες	plural	female	descriptive_adjective
Οι φίλες είναι οι περισσότεροι [m].	[Εγώ] είναι τα περισσότερα [m]	Οι φίλες	plural	female	descriptive_adjective
Οι φίλες είναι οι καλύτερες [m].	[I] είναι το καλύτερο [m]	Οι φίλες	plural	female	descriptive_adjective
Οι φίλες είναι υπέροχες [m].	[Εγώ] είναι υπέροχα [m]	Οι φίλες	plural	female	descriptive_adjective
Οι φίλες είναι γνωστές ως [m].	[I] είναι γνωστά ως [m]	Οι φίλες	plural	female	descriptive_adjective
Οι φίλες είναι [m].	[Εγώ] είναι [m]	Οι φίλες	plural	female	descriptive_adjective
Ο άνθρωπος είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	ο άντρας	singular	male	descriptive_adjective
Ο άνθρωπος είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	ο άντρας	singular	male	descriptive_adjective
Ο άνθρωπος είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	ο άντρας	singular	male	descriptive_adjective
Ο άνθρωπος είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	ο άντρας	singular	male	descriptive_adjective
Ο άνθρωπος είναι ένας [m].	[Εγώ] είναι ένα [m]	ο άντρας	singular	male	descriptive_adjective
Το παιδί είναι το περισσότερο [m].	[Εγώ] είναι το πιο [m]	το παιδί	singular	male	descriptive_adjective
Το παιδί είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	το παιδί	singular	male	descriptive_adjective
Το παιδί είναι ένα μεγάλο [m].	[Εγώ] είναι ένα υπέροχο [m]	το παιδί	singular	male	descriptive_adjective
Το παιδί είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	το παιδί	singular	male	descriptive_adjective
Το παιδί είναι ένα [m].	[Εγώ] είναι ένα [m]	το παιδί	singular	male	descriptive_adjective
Είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	αυτός	singular	male	descriptive_adjective
Είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	αυτός	singular	male	descriptive_adjective
Είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	αυτός	singular	male	descriptive_adjective
Είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	αυτός	singular	male	descriptive_adjective
Είναι [m].	[Εγώ] είναι ένα [m]	αυτός	singular	male	descriptive_adjective
Ο πατέρας είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	ο πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	ο πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	ο πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι γνωστός ως [m].	[I] είναι γνωστό ως [m]	ο πατέρας	singular	male	descriptive_adjective
Ο πατέρας είναι ένας [m].	[Εγώ] είναι ένα [m]	ο πατέρας	singular	male	descriptive_adjective
Ο γιος είναι ο περισσότερος [m].	[Εγώ] είναι το πιο [m]	ο γιος	singular	male	descriptive_adjective
Ο γιος είναι ο καλύτερος [m].	[I] είναι το καλύτερο [m]	ο γιος	singular	male	descriptive_adjective
Ο γιος είναι ένας μεγάλος [m].	[Εγώ] είναι ένα υπέροχο [m]	ο γιος	singular	male	descriptive_adjective
Ο γιος είναι γνωστός ως [M].	[I] είναι γνωστό ως [m]	ο γιος	singular	male	descriptive_adjective
Ο γιος είναι ένας [m].	[Εγώ] είναι ένα [m]	ο γιος	singular	male	descriptive_adjective
Το αγόρι είναι το πιο [m].	[Εγώ] είναι το πιο [m]	το αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	το αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι ένα υπέροχο [m].	[Εγώ] είναι ένα υπέροχο [m]	το αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	το αγόρι	singular	male	descriptive_adjective
Το αγόρι είναι ένα [m].	[Εγώ] είναι ένα [m]	το αγόρι	singular	male	descriptive_adjective
Το αρσενικό είναι το πιο [m].	[Εγώ] είναι το πιο [m]	το αρσενικό	singular	male	descriptive_adjective
Το αρσενικό είναι το καλύτερο [m].	[I] είναι το καλύτερο [m]	το αρσενικό	singular	male	descriptive_adjective
Το αρσενικό είναι ένα μεγάλο [m].	[Εγώ] είναι ένα υπέροχο [m]	το αρσενικό	singular	male	descriptive_adjective
Το αρσενικό είναι γνωστό ως [m].	[I] είναι γνωστό ως [m]	το αρσενικό	singular	male	descriptive_adjective
